PG,PGC,LOT,PD,WF
4870,5,361585,2305,5389095
5308,5,360624,3350,5386728
5308,5,360624,3350,5386737
5308,5,360624,3350,5386745
5308,5,360624,3350,5386743
5308,5,360624,3350,5386741
5664,2,896,543,6105
5765,12,5885,3668,80545
6226,5,360504,3620,5386603
6290,5,360386,3979,5386627
7069,5,258927,4475,5388915
7069,5,258927,4475,5388791
7110,5,258927,4475,3837882
7395,5,361324,4614,5389094
7877,12,3541,3819,49125
7878,2,313180,3819,5388249
8082,4,359019,178,5368608
8082,4,360244,178,5386015
8082,4,359019,178,5368608
8143,4,284323,222,5385998
8143,4,284323,222,5385997
8196,4,149516,216,1331714
8196,4,205514,216,2644624
8196,4,16805,216,208573
8273,4,359037,261,5390863
8273,4,359037,261,5390828
8273,4,359037,261,5390832
8281,4,361711,226,5390081
8281,4,361711,226,5390098
8287,4,358733,1104,5390712
8457,4,360244,178,5386015
9090,4,359765,263,5388037
9134,4,136454,4001,1181964
9134,4,136441,4001,1181684
9134,4,136441,4001,1181676
9134,4,136441,4001,1181667
9134,4,136441,4001,1181745
9134,4,136450,4001,1181958
9134,4,136441,4001,1181722
9134,4,136450,4001,1181945
9134,4,136450,4001,1181948
9134,4,136453,4001,1181952
9164,4,263257,287,3922959
9182,4,259623,294,3852686
9182,4,259623,294,3852685
9182,4,261059,294,3881444
9232,4,358800,307,5388340
9665,4,359477,284,5388862
10741,4,229216,272,3162362
10821,4,359336,288,5387624
10821,4,361712,288,5390114
11021,4,201773,3387,2554430
11021,4,155117,3387,1429985
11021,4,149182,3387,1324713
11021,4,105105,3387,870912
11021,4,155117,3387,1429966
11021,4,105105,3387,870913
11021,4,155117,3387,1429971
11021,4,155117,3387,1429968
11021,4,105105,3387,870928
11021,4,105105,3387,870923
11021,4,105105,3387,870930
11021,4,155117,3387,1429976
11021,4,155117,3387,1429981
11021,4,155117,3387,1429986
11203,4,359309,207,5386305
11220,4,361505,751,5390327
11240,4,150432,4343,5386061
11400,4,34957,2463,297376
12317,4,135028,246,1177917
12317,4,135016,246,1177911
12325,4,357325,267,5390593
12333,4,352704,285,5387623
13041,5,360645,5393,5386792
13041,5,360645,5393,5386793
13041,5,360645,5393,5386794
13041,5,360645,5393,5386796
13041,5,361687,5393,5389925
13041,5,361687,5393,5389922
13041,5,361687,5393,5389865
13041,5,361687,5393,5389864
13041,5,361687,5393,5389859
13041,5,361687,5393,5389851
13041,5,361687,5393,5389854
13041,5,361687,5393,5389858
13741,5,360544,5468,5386574
13741,5,360544,5468,5386575
13741,5,360544,5468,5386576
13741,5,360544,5468,5386577
13741,5,360544,5468,5386578
13741,5,360544,5468,5386579
13741,5,360544,5468,5386580
13741,5,360544,5468,5386581
13741,5,360544,5468,5386582
13741,5,360544,5468,5386583
13741,5,360544,5468,5386584
13741,5,360544,5468,5386585
13741,5,360544,5468,5386586
13741,5,360544,5468,5386587
13741,5,360544,5468,5386588
13741,5,360544,5468,5386589
13741,5,360544,5468,5386565
13741,5,360544,5468,5386566
13741,5,360544,5468,5386567
13741,5,360544,5468,5386568
13741,5,360544,5468,5386569
13741,5,360544,5468,5386570
13741,5,360544,5468,5386571
13741,5,360544,5468,5386572
13741,5,360544,5468,5386573
15141,5,361264,6272,5388882
15629,5,238739,6611,5387962
17258,4,157030,5759,1464145
17258,4,157030,5759,1464150
17907,5,361425,7914,5388878
18001,5,360564,8493,5386641
18001,5,360564,8493,5386691
19101,5,361445,6848,5388650
20982,1,359120,11345,5389108
23946,1,204321,334,3019038
25456,2,27557,12793,5388606
29756,2,361524,14173,5388927
29756,2,361564,14173,5388975
29763,12,361688,14173,5389856
30295,2,361564,14173,5388975
30920,2,361364,14499,5388310
35781,4,44538,437,346289
35781,4,45794,437,352487
35781,4,44533,437,346277
45171,31,62043,15270,428493
45171,31,64875,15270,440735
45171,31,64875,15270,440765
45171,31,62043,15270,428489
45171,31,62043,15270,428507
45171,31,64875,15270,440760
45171,31,62043,15270,428533
47357,4,67011,19131,447032
47383,4,67037,19137,447249
48475,5,215730,9109,3194070
48475,5,215730,9109,3194062
48475,5,215730,9109,3194061
48475,5,215729,9109,3194057
48475,5,215729,9109,3194054
48475,5,215729,9109,3194051
48475,5,215729,9109,3194049
48475,5,230824,9109,3194076
48475,5,215729,9109,3194041
52751,2,53133,19995,507331
52751,2,53133,19995,507368
52751,2,53133,19995,507355
54328,1,244574,20183,3513162
56352,5,268191,693,3993406
56432,1,102509,177,1072803
56432,1,102509,177,1072803
56440,3,142119,177,1452093
58143,4,133672,14227,1172584
61510,2,136451,11720,1181976
65141,4,84910,11273,626669
72233,5,360964,22358,5388963
79717,4,339444,20547,5260552
82128,5,361584,23293,5389016
82128,5,361584,23293,5389017
82128,5,361584,23293,5389032
82128,5,361584,23293,5389029
82128,5,361584,23293,5389018
94568,5,360347,24098,5386551
95423,1,62389,15261,990856
95423,1,62389,15261,990859
108601,5,283171,26187,4249449
108601,5,283171,26187,4249455
108601,5,283171,26187,4249442
108601,5,283171,26187,4249447
108601,5,283171,26187,4249433
108601,5,283176,26187,4249479
108601,5,283176,26187,4249458
108601,5,283176,26187,4249475
108601,5,283176,26187,4249476
108601,5,283176,26187,4249477
108601,5,283171,26187,4249435
113078,12,94786,15253,741021
113078,12,94786,15253,741037
113170,12,99956,11434,807192
113170,12,99956,11434,807222
113170,12,99956,11434,807303
113170,12,99932,11434,806700
113170,12,99932,11434,806764
113170,12,99925,11434,806569
113170,12,99932,11434,806793
113170,12,99932,11434,806712
113170,12,99932,11434,806920
113170,12,99932,11434,806777
113170,12,99960,11434,807343
113170,12,99938,11434,807005
113170,12,99956,11434,807338
113298,12,17721,10635,216116
113298,12,17721,10635,216116
113298,12,17721,10635,216116
113298,12,17721,10635,216116
113310,12,16832,10082,208563
113818,12,690,438,290508
113818,12,690,438,290499
113818,12,690,438,290510
113819,12,24284,4769,297348
156862,1,109790,1858,943757
